Fit FA02

   PI+P  Scattering Amplitudes(fm) at ACM =    0.00
     TLAB        ReF         ImF         ReG         ImG
 2750.00 -0.4253E+00  0.1294E+01  0.0000E+00  0.0000E+00
 2800.00 -0.4301E+00  0.1299E+01  0.0000E+00  0.0000E+00
 2850.00 -0.4347E+00  0.1305E+01  0.0000E+00  0.0000E+00
 2900.00 -0.4361E+00  0.1311E+01  0.0000E+00  0.0000E+00
 2950.00 -0.4364E+00  0.1317E+01  0.0000E+00  0.0000E+00
 3000.00 -0.4366E+00  0.1324E+01  0.0000E+00  0.0000E+00
 3050.00 -0.4368E+00  0.1331E+01  0.0000E+00  0.0000E+00
 3100.00 -0.4369E+00  0.1337E+01  0.0000E+00  0.0000E+00
 3150.00 -0.4371E+00  0.1344E+01  0.0000E+00  0.0000E+00
 3200.00 -0.4372E+00  0.1350E+01  0.0000E+00  0.0000E+00
