Measurement			
2			
Q2			
1.8			
W			
1.25			
Ps			
300			
Bin	F2n*Pp	StErr	SysErr
-0.425	0.010428	0.000725	0.001388
-0.375	0.00954	0.000641	0.001325
-0.325	0.010624	0.000637	0.001401
-0.275	0.012366	0.000706	0.001624
-0.225	0.012706	0.000716	0.001665
-0.175	0.012741	0.000731	0.001668
-0.125	0.013737	0.000732	0.001797
-0.075	0.0152	0.000763	0.001985
-0.025	0.018602	0.000869	0.002427
0.025	0.01762	0.000808	0.0023
0.075	0.016214	0.000772	0.002118
0.125	0.019186	0.000837	0.002507
0.175	0.019028	0.000824	0.002488
0.225	0.019115	0.000812	0.002501
0.275	0.020324	0.000818	0.002659
0.325	0.020255	0.000803	0.00265
0.375	0.025814	0.000948	0.003378
0.425	0.024357	0.000995	0.003187
0.475	0.025416	0.001099	0.003326
0.525	0.028547	0.001206	0.003736
0.575	0.027315	0.001247	0.003574
0.625	0.027825	0.001244	0.003641
0.675	0.029054	0.001306	0.003802
End			
Measurement			
24			
Q2			
2.8			
W			
2.4			
Ps			
340			
Bin	F2n*Pp	StErr	SysErr
-0.975	0	0	0.001346
-0.925	0	0	0.001383
-0.875	0	0	0.001423
-0.825	0	0	0.001461
-0.775	0	0	0.001498
-0.725	0	0	0.001534
-0.675	0	0	0.001576
-0.625	0	0	0.001619
-0.575	0.004806	0.004806	0.001685
-0.525	0.023015	0.00528	0.003273
-0.475	0.01032	0.002103	0.00185
-0.425	0.018221	0.002264	0.002622
-0.375	0.01438	0.001657	0.002081
-0.325	0.015982	0.001429	0.002298
-0.275	0.018741	0.001348	0.002648
-0.225	0.019929	0.001312	0.002781
-0.175	0.018193	0.001187	0.002518
-0.125	0.023684	0.001225	0.00326
-0.075	0.023669	0.001074	0.00325
-0.025	0.021699	0.000959	0.002969
